meanings,jlpt_level,stroke_count,radicals,reading_kun,reading_on
"['throat', 'choked', 'smothered', 'stuffy', 'garganta', 'sofoco', 'atragantamiento', 'asfixia']",,9,30,"['むせ.ぶ', 'むせ.る', 'のど', 'の.む']","['イン', 'エン', 'エツ']"
"['employee', 'member', 'number', 'the one in charge', 'employé', 'membre', 'nombre (de personnes)', 'personne en charge', 'empleado', 'miembro', 'personal', 'empregado', 'membro', 'número', 'encarregado']",,10,30,[],['イン']
"['cause', 'factor', 'be associated with', 'depend on', 'be limited to', 'cause', 'facteur', 'associé à', 'dépendre de', 'limité à', 'causa', 'origen', 'depender de', 'contar con', 'causa', 'fator', 'seja associado com', 'contar com', 'ser limitado para']",,6,31,"['よ.る', 'ちな.む']",['イン']
"['matrimony', 'marry', 'conjugal', 'mariage', 'matrimonio', 'casarse', 'matrimônio', 'casa']",,9,38,[],['イン']
"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to', 'tirer', 'admettre', 'installer', 'citation', 'référence', 'jouer (musique)', 'attraper (froid)', 'tirar', 'remolcar', 'retroceder', 'ser guiado', 'arrastrar', 'tocar (instrumento de cuerda)', 'puxar', 'rebocar', 'sacudir', 'permitir', 'instalar', 'citação', 'referir-se']",,4,57,"['ひ.く', 'ひ.ける']",['イン']
"['drink', 'smoke', 'take', 'boire', 'fumer', 'prendre', 'beber', 'beber', 'fumar', 'tomar']",,12,184,"['の.む', '-の.み']","['イン', 'オン']"
"['lewdness', 'licentiousness']",,11,85,"['ひた.す', 'ほしいまま', 'みだ.ら', 'みだ.れる', 'みだり']",['イン']
"['descendent', 'issue', 'offspring', 'progenie', 'descendencia']",,9,130,['たね'],['イン']
"['shade', 'shadow', 'backing assistance']",,14,140,['かげ'],"['イン', 'オン']"
"['Inst.', 'institution', 'temple', 'mansion', 'school', 'temple', 'institution', 'résidence', 'école', 'hôpital', 'institución', 'templo', 'hospital', 'instituição', 'templo', 'mansão', 'escola']",,10,170,[],['イン']
"['shade', 'yin', 'negative', 'sex organs', 'secret', 'shadow', 'Yin', 'ombre', 'négatif', 'secret', 'organes sexuels', 'sombra', 'oscuridad', 'oculto', 'negativo', 'ocultar', 'matiz', 'yin', 'negativa', 'órgões sexuais', 'segredo', 'sombra']",,11,170,"['かげ', 'かげ.る']",['イン']
"['conceal', 'hide', 'cover', 'dissimuler', 'cacher', 'couvrir', 'ocultar', 'esconder', 'cubrir', 'esconderse', 'estar escondido', 'esconder', 'esconderijo', 'capa']",,14,170,"['かく.す', 'かく.し', 'かく.れる', 'かか.す', 'よ.る']","['イン', 'オン']"
"['rhyme', 'elegance', 'tone', 'rime', 'élégance', 'son (phonème)', 'tono', 'rima', 'ritmo', 'elegancia', 'rime', 'elegância', 'tom']",,19,180,[],['イン']
['inch'],,6,30,['インチ'],"['トウ', 'ドウ', 'スン']"
"['right', 'droite', 'derecha', 'Direita']",,5,30,['みぎ'],"['ウ', 'ユウ']"
"['eaves', 'roof', 'house', 'heaven', 'firmament', 'cieux', 'auvent', 'toit', 'maison', 'edificio grande', 'cielo', 'sensación', 'Beira de telhado', 'teto', 'casa', 'paraíso']",,6,40,[],['ウ']
"['crow', 'raven', 'corneille', 'corbeau', 'cuervo']",,10,86,"['からす', 'いずくんぞ', 'なんぞ']","['ウ', 'オ']"
"['feathers', 'counter for birds, rabbits', 'plume', ""compteur d'oiseaux, lapins"", 'pluma', 'alas', 'contador de pájaros y conejos', 'penas', 'sufixo para contagem de pássaros', 'coelhos']",,6,124,"['は', 'わ', 'はね']",['ウ']
"['roundabout way', 'déviation']",,6,162,[],['ウ']
"['rain', 'pluie', 'lluvia', 'chuva']",,8,173,"['あめ', 'あま-', '-さめ']",['ウ']
"['sign of the hare or rabbit', 'fourth sign of Chinese zodiac', '5-7AM', 'east', 'signe de la 4ème branche terrestre', 'signe du Lapin (zodiaque)', '5 à 7 heures du matin', 'Est (90°)', 'signo de la liebre', 'cuarto signo del zodíaco', 'conejo']",,5,26,['う'],"['ボウ', 'モウ']"
"['cormorant', 'cormorán', 'pelícano']",,18,196,['う'],"['テイ', 'ダイ']"
"['lie in wait', 'spy on', 'reconnoiter']",,16,116,"['うかが.う', 'のぞく']",['キ']
"['sign of the ox or cow', '1-3AM', 'second sign of Chinese zodiac', 'signe de la 2ème branche terrestre', 'signe du Boeuf (zodiaque)', '1 à 3 heures du matin', 'signo de la vaca', 'segundo signo del zodíaco', 'vaca']",,4,1,['うし'],['チュウ']
['pestle'],,13,112,"['たし.か', 'かく.たる']","['カク', 'タイ']"
"['mortar', 'mortier', 'mortero']",,6,134,"['うす', 'うすづ.く']","['キュウ', 'グ']"
"['whirlpool', 'eddy', 'vortex', 'tourbillon', 'remous', 'vortex', 'remolino de agua', 'vórtice', 'redemoinho', 'turbilhão']",,12,85,['うず'],['カ']
"['lie', 'falsehood', 'mentira', 'falsedad']",,14,30,"['うそ', 'ふ.く']","['キョ', 'コ']"
"['song', 'ballad', 'canción', 'balada (acompañada de shamisen)']",,10,30,"['うた', 'うた.う']",['バイ']
"['gloom', 'depression', 'melancholy']",,26,75,"['うっ.する', 'ふさ.ぐ', 'しげ.る']","['ウツ', 'ウン']"
['dense growth'],,14,140,"['うち', 'おとこよもぎ']","['ウツ', 'イ']"
['eel'],,22,195,['うなぎ'],"['マン', 'バン']"
['old woman'],,9,38,['うば'],"['ボ', 'モ']"
"['barn', 'stable']",,12,27,['うまや'],['キュウ']
"['bay', 'creek', 'inlet', 'gulf', 'beach', 'seacoast', 'baie', 'crique', 'anse', 'golfe', 'rivage', 'côte', 'plage', 'bahía', 'ensenada', 'golfo', 'baía', 'riacho', 'pequena baía', 'golfo', 'praia', 'costa']",,10,85,['うら'],['ホ']
"['melon', 'melon', 'melón']",,6,97,['うり'],"['カ', 'ケ']"
"['intercalation', 'illegitimate throne']",,12,169,['うるう'],['ジュン']
"['rumor', 'gossip', 'hearsay', 'rumor', 'cotilleo', 'habladuría']",,15,30,['うわさ'],['ソン']
"['say', 'decir']",,4,7,"['い.う', 'ここに']",['ウン']
"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance', 'porter', 'chance', 'destin', 'destinée', 'sort', 'progrès', 'suerte', 'destino', 'transportar', 'carregar', 'sorte', 'destino', 'objetivo', 'transportar', 'progresso', 'avanço']",,12,162,['はこ.ぶ'],['ウン']
"['cloud', 'nuage', 'nube', 'nuvem']",,12,173,"['くも', '-ぐも']",['ウン']
"['bean', 'perilla', 'herb', 'soft', 'pliable']",,9,140,[],"['ジン', 'ニン']"
