meanings,jlpt_level,stroke_count,radicals,reading_kun,reading_on
['cutting (grass)'],,7,140,['か.る'],"['ガイ', 'カイ']"
"['tile', 'gram', 'tuile', 'gramme', 'teja']",,5,98,"['かわら', 'ぐらむ']",['ガ']
"['drought', 'dry', 'dessicate', 'drink up', 'heaven', 'emperor', 'sécheresse', 'sécher', 'dessécher', 'vider (verre)', 'cieux', 'empereur', 'seco', 'secar', 'secarse', 'desecarse', 'seca', 'dessecar', 'evaporar', 'paraíso', 'imperador']",,11,5,"['かわ.く', 'かわ.かす', 'ほ.す', 'ひ.る', 'いぬい']","['カン', 'ケン']"
"['strong', 'just', 'righteous', 'peace-loving', 'fuerte', 'justo', 'honrado', 'tranquilo']",,8,9,['つよ.い'],['カン']
"['crown', 'best', 'peerless', 'couronne', 'le meilleur', 'inégalable', 'corona', 'sin par', 'sin igual', 'coroa', 'melhor', 'inigualável']",,9,14,['かんむり'],['カン']
"['cold', 'froid (temps)', 'frío', 'desolado', 'Frio']",,12,40,['さむ.い'],['カン']
"['publish', 'carve', 'engrave', 'publier', 'ciseler', 'graver', 'publicar', 'editar', 'publicar', 'gravar', 'cunhar']",,5,18,[],['カン']
"['intuition', 'perception', 'check', 'compare', 'sixth sense', 'intuition', 'perception', 'intuición', 'percepción', 'intuição', 'percepção']",,11,19,[],['カン']
"['persuade', 'recommend', 'advise', 'encourage', 'offer', 'persuader', 'recommander', 'conseiller', 'encourager', 'offre', 'persuasión', 'recomendación', 'consejo', 'persuadir', 'recomendar', 'aconsejar', 'persuadir', 'recomendar', 'aconselhar', 'emcorajar', 'oferecer']",,13,19,['すす.める'],"['カン', 'ケン']"
"['scroll', 'volume', 'book', 'part', 'roll up', 'wind up', 'tie', 'coil', 'counter for texts (or book scrolls)', 'rouleau', 'livre', 'tome', 'volume', 'partie', 'enrouler', 'envelopper', 'compteur de textes (manuscrits roulés)', 'enrollar', 'rollo', 'volumen', 'tomo', 'liar', 'rolo', 'volume', 'livro', 'parte', 'enrolar', 'laço', 'mola', 'sufixo para contagem de para textos (em livros)']",,9,49,"['ま.く', 'まき', 'ま.き']","['カン', 'ケン']"
"['yell', 'cry', 'call', 'scream', 'summon', 'hurler', 'crier', 'gritar', 'llamar', 'grito', 'alarido', 'Gritar', 'choro', 'grito']",,12,30,['わめ.く'],['カン']
"['withstand', 'endure', 'support', 'resist', 'résistance', 'endurer', 'supporter', 'résister', 'resistir', 'aguantar', 'soportar', 'tolerar', 'Opor-se', 'suportar', 'apoiar', 'resistir']",,12,32,"['た.える', 'たま.る', 'こら.える', 'こた.える']","['カン', 'タン']"
"['wicked', 'mischief', 'seduce', 'rape', 'noisy']",,9,38,"['かん.する', 'かしま.しい', 'みだら']","['カン', 'ケン']"
"['perfect', 'completion', 'end', 'parfait', 'achèvement', 'accompli', 'perfección', 'conclusión', 'final', 'perfeito', 'acabamento', 'fim']",,7,40,[],['カン']
"['bureaucrat', 'the government', 'organ', 'fonctionnaire', 'gouvernemental', 'gobierno', 'gubernamental (lugar', 'persona)', 'órgano del cuerpo', 'burocracia', 'o governo']",,8,40,[],['カン']
"['tolerant', 'leniency', 'generosity', 'relax', 'feel at home', 'be at ease', 'broadminded', 'tolérant', 'indulgent', 'générosité', 'se sentir chez soi', ""être à l'aise"", ""ouverture d'esprit"", 'tolerancia', 'generosidad', 'tranquilidad', 'estar a gusto', 'tolerante', 'leniente', 'generosidade', 'relaxar', 'à vontade', 'mente aberta']",,13,40,"['くつろ.ぐ', 'ひろ.い', 'ゆる.やか']",['カン']
"['dry', 'parch', 'ebb', 'recede', 'interfere', 'intercede', 'sec', 'dessécher', 'secarse', 'secar', 'relacionar', 'airear', 'sêco', 'ressecar']",,3,51,"['ほ.す', 'ほ.し-', '-ぼ.し', 'ひ.る']",['カン']
"['tree trunk', 'main part', 'talent', 'capability', ""tronc d'arbre"", 'pièce principale', 'tronco del árbol', 'punto importante', 'base', 'Tronco de árvore']",,13,51,['みき'],['カン']
"['afflicted', 'disease', 'suffer from', 'be ill', 'maladie', 'affection', 'souffrir de', 'patient', 'aflicción', 'ansiedad', 'enfermedad', 'sufrir de', 'estar enfermo', 'aflição', 'doença', 'sofrer de', 'estar mal']",,11,61,['わずら.う'],['カン']
"['emotion', 'feeling', 'sensation', 'sentiment', 'émotion', 'sensation', 'sentimiento', 'sensación', 'sentir', 'emoção', 'sentimento', 'sensação']",,13,61,[],['カン']
"['accustomed', 'get used to', 'become experienced', ""avoir l'habitude"", ""s'accoutumer"", 'coutumes', 'expérience', 'costumbre', 'acostumbrarse', 'acostumbrar', 'acostumado', 'acostuma-se a', 'torna-se experimentado']",,14,61,"['な.れる', 'な.らす']",['カン']
"['remorse', 'regret', 'be sorry', 'remords', 'regrets', 'être désolé', 'maudire', 'remordimiento', 'arrepentimiento', 'remorso', 'pesar', 'estar triste']",,16,61,['うら.む'],['カン']
"['interchange', 'period', 'change', 'convert', 'replace', 'renew', 'échanger', 'remplacer', 'convertir', 'change', 'cambio', 'intercambio', 'intercambiar', 'sustituir', 'reemplazar', 'ser intercambiado', 'ser convertido', 'trocar', 'turno', 'carga', 'mudar']",,12,64,"['か.える', '-か.える', 'か.わる']",['カン']
"['daring', 'brave', 'bold', 'sad', 'tragic', 'pitiful', 'audace', 'triste', 'tragique', 'pitoyable', 'frêle', 'faible', 'osado', 'atrevido', 'ousar', 'frágil', 'lamentável', 'trágico', 'triste', 'franzino']",,12,66,"['あ.えて', 'あ.えない', 'あ.えず']",['カン']
"['citrus', 'orange', 'mandarina', 'cítrico']",,9,75,[],"['コン', 'カン']"
['marking post'],,10,75,[],['カン']
"['coffin', 'casket', 'cercueil', 'ataúd', 'féretro', 'Caixão fúnebre', 'caixa fechada']",,12,75,[],['カン']
"['goodwill', 'article', 'section', 'friendship', 'collusion', 'bonne volonté', 'article', 'section', 'fraternisation', 'amitié', 'connivence', 'artículo (contrato', 'ley)', 'sección', 'sinceridad', 'buena voluntad', 'Boa-vontade', 'artigo', 'seção', 'amizade', 'conivência']",,12,76,[],['カン']
"['delight', 'joy', 'joie', 'plaisir', 'ravissement', 'alegría', 'felicidad', 'deleite', 'diversión', 'deleite', 'prazer']",,15,76,['よろこ.ぶ'],['カン']
"['sweat', 'perspire', 'sueur', 'transpirer', 'sudor', 'transpiración', 'suar', 'transpirar']",,6,85,['あせ'],['カン']
"['Sino-', 'China', 'sino-', 'Chine', 'antigua región de China', 'China', 'hombre', 'Sino-', 'China']",,13,85,[],['カン']
"['valley river', '10**36']",,15,85,"['たに', 'たにみず']","['カン', 'ケン']"
"['pour into', 'irrigate', 'shed (tears)', 'flow into', 'concentrate on']",,14,85,['そそ.ぐ'],['カン']
"['ring', 'circle', 'link', 'wheel', 'anneau', 'cercle', 'roue', 'maillon', 'círculo', 'anillo', 'eslabón', 'giro', 'argola', 'círculo', 'elo', 'roda']",,17,96,['わ'],['カン']
"['sweet', 'coax', 'pamper', 'be content', 'sugary', 'doux', 'enjôler', 'dorloter', 'être content', 'sucré', 'dulce', 'sabroso', 'bueno', 'tener cariño a', 'mimar', 'consentir', 'doce', 'seduzir', 'mimar', 'contentar', 'açucarado']",,5,99,"['あま.い', 'あま.える', 'あま.やかす', 'うま.い']",['カン']
"['oversee', 'official', 'govt office', 'rule', 'administer', 'surveiller', 'officiel', 'bureau administratif', 'gouverner', 'administrer', 'supervisar', 'controlar', 'gobernar', 'administrar', 'fiscalizar', 'oficial', 'escritório do govêrno', 'governar', 'administrar']",,15,108,[],['カン']
"['watch over', 'see', 'regarder attentivement', 'veiller sur', 'ver', 'vigilar', 'cuidar', 'asistir', 'Observar', 'superviosionar']",,9,109,['み.る'],['カン']
"['pole', 'rod', 'scale beam', 'violin neck', 'palo', 'barra', 'vara', 'caña']",,9,118,['さお'],['カン']
"['pipe', 'tube', 'wind instrument', 'drunken talk', 'control', 'jurisdiction', 'tuyau', 'tube', 'instrument à vent', ""discours d'ivrogne"", 'gestion', 'tubería', 'tubo', 'caño', 'control', 'controlar', 'administrar', 'flauta', 'tubo', 'instrumento de sopro', 'conversa de bêbados']",,14,118,['くだ'],['カン']
"['simplicity', 'brevity', 'simplicité', 'brièveté', 'simple', 'breve', 'aproximado', 'carta', 'simplicidade', 'brevidade']",,18,118,"['えら.ぶ', 'ふだ']","['カン', 'ケン']"
"['slacken', 'loosen', 'relax', 'lessen', 'be moderate', 'ease', 'relâcher', 'abaisser', 'décompresser', 'lâche (noeud)', 'modéré', 'aise', 'fácil', 'despacio', 'disminución', 'mitigado', 'aliviado', 'aflojar(se)', 'relajar(se)', 'disminuir', 'indulgente', 'afrouxar', 'relaxar', 'diminuir', 'moderar', 'facilitar']",,15,120,"['ゆる.い', 'ゆる.やか', 'ゆる.む', 'ゆる.める']",['カン']
"['tin can', 'container', 'jar radical (no. 121)', 'boîte de conserve', 'récipient', 'radical jarre (no. 121)', 'lata de hojalata', 'envase', 'hervidor', 'Lata', 'pote', 'recipiente']",,6,121,['かま'],['カン']
"['letter', 'writing brush']",,16,124,"['はね', 'ふで', 'やまどり', 'ふみ']",['カン']
"['liver', 'pluck', 'nerve', 'chutzpah', 'foie', 'cran', 'courage', 'audace', 'punto vital', 'hígado', 'ánimo', 'fígado', 'vísceras', 'nervo', 'chutzpah']",,7,130,['きも'],['カン']
"['warship', 'navire de guerre', 'buque de guerra', 'navio de guerra']",,21,137,[],['カン']
"['smiling', 'reed used to cover tatami', 'junco usado para cubrir el tatami']",,10,140,['い'],['カン']
"['outlook', 'look', 'appearance', 'condition', 'view', 'perspective', 'vue', 'aspect', 'apparence', 'condition (état)', 'punto de vista', 'mirar cuidadosamente', 'mostrar', 'perspectiva', 'olhar', 'aparecimento', 'condição', 'visão']",,18,147,"['み.る', 'しめ.す']",['カン']
"['admonish', 'dissuade']",,15,149,"['いさ.め', 'いさ.める']",['カン']
"['pierce', '8 1/3lbs', 'penetrate', 'brace', 'percer', 'kan (= 3750 g)', 'pénétrer', 'cohérence', 'soutien (renfort)', 'perforar', 'penetrar', 'desempeñar', 'cumplir', 'furar', 'medida de peso com 8 1/ 3 lbs', 'penetrar', 'gancho']",,11,154,"['つらぬ.く', 'ぬ.く', 'ぬき']",['カン']
"['send back', 'return', 'renvoyer', 'retour', 'volver', 'regresar', 'devolver', 'devolver', 'voltar']",,16,162,['かえ.る'],['カン']
"['specimen', 'take warning from', 'learn from', 'échantillon', 'être mis en garde', 'apprendre de', 'ejemplo', 'modelo', 'sello', 'discernir', 'espécime', 'se precaver', 'aprender o']",,23,167,"['かんが.みる', 'かがみ']",['カン']
"['interval', 'space', 'intervalle', 'espace', 'intervalo', 'espacio', 'habitación', 'intervalo', 'espaço']",,12,169,"['あいだ', 'ま', 'あい']","['カン', 'ケン']"
"['leisure', 'loisirs', 'ocio', 'tiempo libre', 'lazer']",,12,169,[],['カン']
"['connection', 'barrier', 'gateway', 'involve', 'concerning', 'relation', 'barrière', 'lien', 'rapport', 'concerner', 'barrera', 'puerta', 'relación', 'mecanismo', 'valla', 'conexão', 'obstáculo', 'passagem', 'emvolver', 'concernente']",,14,169,"['せき', '-ぜき', 'かか.わる', 'からくり', 'かんぬき']",['カン']
"['collapse', 'fall into', 'cave in', 'fall (castle)', 'slide into', ""s'écrouler"", 'piège', 'tomber dans', 'capituler', 'tomber (château)', 'glisser dans', 'hundirse', 'derrumbarse', 'caer', 'resbalarse', 'deslizarse', 'colapso', 'desmoronar', 'ruir', 'queda (castelo)', 'deslizamento']",,10,170,"['おちい.る', 'おとしい.れる']",['カン']
"['Korea', 'Corée', 'antigua región de China', 'Corea']",,18,178,"['から', 'いげた']",['カン']
"['building', 'mansion', 'large building', 'palace', 'bâtiment', 'grand bâtiment', 'résidence', 'palais', 'edificio', 'mansión', 'edifício', 'mansão', 'edifício grande', 'palácio']",,16,184,"['やかた', 'たて']",['カン']
"['mansion', 'large building', 'palace']",,16,135,"['やかた', 'たて']",['カン']
"['round', 'full (month)', 'perfection', '-ship', 'pills', 'make round', 'roll up', 'curl up', 'seduce', 'explain away', 'rond', 'arrondir', 'entier (mois)', 'pilule', 'perfection', 'suffixe des bateaux', 'se pelotonner', 'se rouler en boule', 'séduire', 'justifier', 'redondo', 'circular', 'círculo', 'redondear', 'arredondar', 'cheio', 'mês', 'perfeição', '-nave', 'pílulas', 'espiral para cima', 'seduzir']",,3,3,"['まる', 'まる.める', 'まる.い']",['ガン']
"['contain', 'include', 'hold in the mouth', 'bear in mind', 'understand', 'cherish', 'inclure', 'retenir', 'comprendre', 'chérir', 'incluir', 'tener en mente', 'entender', 'comprender', 'tener en la boca', 'contener', 'incluir', 'ter em conta', 'compreender', 'tratar com carinho']",,7,30,"['ふく.む', 'ふく.める']",['ガン']
"['beach', 'côte', 'rive', 'plage', 'playa', 'costa', 'orilla', 'Praia']",,8,46,['きし'],['ガン']
"['rock', 'crag', 'boulder', 'peñasco', 'roca grande', 'roca']",,20,46,"['いわ', 'いわお', 'けわ.しい']",['ガン']
"['play', 'take pleasure in', 'trifle with', 'make sport of', 'jugar', 'juguete', 'tratar cuidadosamente']",,8,96,"['もちあそ.ぶ', 'もてあそ.ぶ']",['ガン']
"['cancer', 'cancerous evil', 'cáncer']",,17,104,[],['ガン']
"['eyeball', 'globe oculaire', 'ojo', 'vista', 'perspicacia', 'punto principal', 'globo ocular']",,11,109,"['まなこ', 'め']","['ガン', 'ゲン']"
"['boulder', 'rock', 'cliff', 'rocher', 'roc', 'falaise', 'roca', 'rochedo', 'rocha', 'penhedo']",,8,46,['いわ'],['ガン']
"['take pleasure in', 'play instrument']",,15,124,['もてあそ.ぶ'],['ガン']
"['counterfeit', 'forgery']",,19,154,['にせ'],['ガン']
"['wild goose', 'ganso salvaje', 'oca salvaje']",,12,172,"['かり', 'かりがね']",['ガン']
"['stubborn', 'foolish', 'firmly', 'opiniâtre', 'tenace', 'têtu', 'obstination', 'stupide', 'terco', 'testarudo', 'firmemente', 'tolo', 'teimoso', 'firmamente']",,13,181,['かたく'],['ガン']
"['face', 'expression', 'visage', 'expression', 'cara', 'faz', 'semblante', 'rostro', 'expresión', 'rosto', 'expressão']",,18,181,['かお'],['ガン']
"['petition', 'request', 'vow', 'wish', 'hope', 'demande', 'prière', 'souhait', 'voeu', 'espoir', 'petición', 'deseo', 'anhelo', 'desear', 'pedir', 'rogar', 'petição', 'solicitação', 'voto', 'desejo', 'esperança']",,19,181,"['ねが.う', '-ねがい']",['ガン']
"['undertake', 'scheme', 'design', 'attempt', 'plan', 'entreprendre', 'concept', 'projet', 'essai', 'plan', 'esquema', 'diseño', 'plan', 'emprender', 'idear', 'diseñar', 'planificar', 'empreenda', 'esquema', 'projeto', 'tentativa', 'plano']",,6,9,"['くわだ.てる', 'たくら.む']",['キ']
"['deed', 'skill', 'habilidad', 'técnica']",,6,9,"['わざ', 'わざおぎ']","['ギ', 'キ']"
"['dangerous', 'fear', 'uneasy', 'dangereux', 'crainte', 'gêne', 'peligroso', 'dudoso', 'perigoso', 'medo', 'desconforto']",,6,26,"['あぶ.ない', 'あや.うい', 'あや.ぶむ']",['キ']
"['rejoice', 'take pleasure in', 'se réjouir', 'prendre plaisir à', 'alegría', 'júbilo', 'divertirse', 'Alegrar-se', 'ter prazer em']",,12,30,"['よろこ.ぶ', 'よろこ.ばす']",['キ']
"['utensil', 'vessel', 'receptacle', 'implement', 'instrument', 'ability', 'container', 'tool', 'set', 'ustensile', 'récipient', 'instrument', 'appareil', 'capacité', 'outil', 'service (de table)', 'utensilio', 'vasija', 'receptáculo', 'envase', 'caldera', 'utensilio', 'vasol', 'receptaculo', 'implementar', 'instrumento', 'capacidade', 'recipiente', 'ferramenta', 'conjunto']",,15,30,['うつわ'],['キ']
"['fundamentals', 'radical (chem)', 'counter for machines', 'foundation', 'fondements', 'radical (chimie)', 'compteur de machines', 'fondations', 'fundamento', 'origen', 'base', 'fundamentais', 'radicais (Quim.)', 'comtador para máquinas', 'fundação']",,11,32,"['もと', 'もとい']",['キ']
"['strange', 'strangeness', 'curiosity', 'étrange', 'étrangeté', 'curieux (bizarre)', 'extraño', 'raro', 'sospechoso', 'estranho', 'estranheza', 'curiousidade']",,8,37,"['く.しき', 'あや.しい', 'くし', 'めずら.しい']",['キ']
"['glad', 'pleased', 'rejoice', 'contento', 'satisfecho', 'regocijarse']",,15,38,"['うれ.しい', 'たの.しむ']",['キ']
"['draw near', 'stop in', 'bring near', 'gather', 'collect', 'send', 'forward', 'approcher', ""s'approcher"", 'faire une visite', 'collecter', 'rassembler', 'envoyer', 'faire suivre', 'colaborar', 'apoyarse en', 'acercarse', 'reunirse', 'arrimar', 'juntar', 'aproximar', 'juntar', 'colecionar', 'enviar', 'adiantar']",,11,40,"['よ.る', '-よ.り', 'よ.せる']",['キ']
"['branch off', 'fork in road', 'scene', 'arena', 'theater', 'bifurcation', 'embranchement', 'scène', 'arène', 'théâtre', 'bifurcación', 'división', 'dividir', 'partir', 'ramo cortado', 'bifurcação', 'cena', 'arena', 'teatro']",,7,46,[],"['キ', 'ギ']"
"['hope', 'beg', 'request', 'pray', 'beseech', 'Greece', 'dilute (acid)', 'rare', 'few', 'phenomenal', 'espoir', 'demander', 'prier', 'implorer', 'dilution', 'Grèce', 'rare', 'peu nombreux', 'phénoménal', 'raro', 'poco', 'deseo', 'esperanza', 'Grecia', 'esperança', 'pedir', 'solicitação', 'implorar', 'Grécia', 'diluir (ácido)', 'raro', 'poucos', 'fenomenal']",,7,50,"['まれ', 'こいねが.う']","['キ', 'ケ']"
"['how many', 'how much', 'how far', 'how long', 'some', 'several', 'combien', 'quel', 'quelques', 'cuántos', 'algunos', 'quantos', 'quanto', 'quão longe', 'quanto tempo']",,12,52,"['いく-', 'いく.つ', 'いく.ら']",['キ']
"['mourning', 'abhor', 'detestable', 'death anniversary', 'deuil', 'détester', 'répugnant', 'anniversaire du décès', 'aborrecer', 'detestar', 'luto', 'luto', 'odiar', 'detestável', 'aniversário de morte']",,7,61,"['い.む', 'い.み', 'い.まわしい']",['キ']
"['brandish', 'wave', 'wag', 'swing', 'shake', 'brandir', 'agiter', 'remuer', 'balancer', 'secouer', 'manejar', 'ejercer', 'exhibir', 'exponer', 'agitar', 'onda', 'sacudir', 'balançar', 'mexer']",,12,64,['ふる.う'],['キ']
"['desk', 'table', 'bureau', 'table', 'mesa', 'escritorio', 'mesa', 'escrivaninha']",,6,75,['つくえ'],['キ']
"['national flag', 'banner', 'standard', 'drapeau', 'bannière', 'étendard', 'bandera nacional', 'estandarte', 'bandera', 'bandeira nacional', 'bandeira', 'padrão']",,14,70,['はた'],['キ']
"['previously', 'already', 'long ago', 'déjà', 'auparavant', 'il y a longtemps', 'anterior', 'previo', 'pasado', 'ya', 'antes', 'previamente', 'já', 'há muito tempo']",,10,71,['すで.に'],['キ']
"['period', 'time', 'date', 'term', 'période', 'temps', 'date', 'terme', 'período', 'plazo', 'intención', 'propósito', 'período', 'tempo', 'data', 'termo']",,12,74,[],"['キ', 'ゴ']"
"['chess piece', 'Japanese chess', 'shogi', ""pièce d'échec"", 'échecs japonais', 'shogi', 'pieza de ajedrez', 'ajedrez japonés', 'shogi', 'peça de xadrez', 'xadrez Japonês', 'shogi']",,12,75,['ご'],['キ']
"['abandon', 'throw away', 'discard', 'resign', 'reject', 'sacrifice', 'abandonner', 'jeter', 'se débarrasser', 'renoncer', 'rejeter', 'sacrifier', 'tirar', 'descartar', 'abandonar', 'arrojar', 'desechar', 'desembaraço', 'gastar', 'descartar', 'pedir demissão', 'rejeitar', 'sacrifício']",,13,75,['す.てる'],['キ']
"['loom', 'mechanism', 'machine', 'airplane', 'opportunity', 'potency', 'efficacy', 'occasion', 'métier à tisser', 'mécanique', 'opportunité', 'machine', 'avion', 'organique', 'mecanismo', 'máquina', 'avión', 'ocasión', 'telar', 'mecanismo', 'oportunidade', 'ocasião', 'máquina', 'avião']",,16,75,['はた'],['キ']
"['homecoming', 'arrive at', 'lead to', 'result in', 'retour à la maison', 'arriver à', 'mener à', 'aboutir à', 'renvoyer', 'regreso', 'vuelta', 'retorno', 'regresar', 'volver', 'Retôrno a casa', 'chegar em', 'conduzir-se', 'resultar']",,10,50,"['かえ.る', 'かえ.す', 'おく.る', 'とつ.ぐ']",['キ']
"['strong', 'resuelto', 'determinado', 'firme']",,15,79,['つよ.い'],"['キ', 'ギ']"
"['spirit', 'mind', 'air', 'atmosphere', 'mood', 'esprit', 'air', 'atmosphère', 'humeur', 'espíritu', 'mente', 'espírito', 'mente']",,6,84,['き'],"['キ', 'ケ']"
"['vapor', 'steam', 'vapeur', 'vapor', 'vapor']",,7,85,[],['キ']
"['capital', 'suburbs of capital', 'capital', 'alrededores de la capital', 'antigua capital china']",,15,102,['みやこ'],['キ']
"['pray', 'wish', 'prier', 'voeu', 'rezo', 'oración', 'plegaria', 'rezar', 'orar', 'invocar', 'orar', 'rogar']",,8,113,['いの.る'],['キ']
"['seasons', 'saison', 'estación del año', 'estações']",,8,39,[],['キ']
"['rare', 'phenomenal', 'dilute (acid)', 'raro', 'fenómenal', 'diluido (ácido)']",,12,115,"['まれ', 'まばら']","['キ', 'ケ']"
"['chronicle', 'account', 'narrative', 'history', 'annals', 'geologic period', 'chronique', 'compte-rendu', 'narration', 'histoire', 'annales', 'ère géologique', 'crónica', 'normas', 'era', 'crônica', 'contos', 'narrativa', 'história', 'anais', 'período geológico']",,9,120,[],['キ']
"['good', 'beautiful', 'badge']",,17,60,['しるし'],['キ']
"['standard', 'measure', 'norme', 'mesure', 'compás', 'regla', 'medida', 'norma', 'padrão', 'medida']",,11,147,[],['キ']
"['scribe', 'account', 'narrative', 'inscrire', 'compte-rendu', 'narration', 'crónica', 'narración', 'memorizar', 'anotar', 'consignar por escrito', 'escriba', 'contar', 'narrativa', 'narrar']",,10,149,['しる.す'],['キ']
"['precious', 'value', 'prize', 'esteem', 'honor', 'précieux', 'de valeur', 'prisé', 'estimé', 'honneur', 'precioso', 'valioso', 'valorar', 'apreciar', 'estimar', 'precioso', 'valor', 'prêmio', 'estima', 'honra']",,12,154,"['たっと.い', 'とうと.い', 'たっと.ぶ', 'とうと.ぶ']",['キ']
"['rouse', 'wake up', 'get up', 'se lever', 'se réveiller', 'début', 'se produire', 'provoquer', 'despertar', 'levantarse', 'comenzar', 'comienzo', 'despertar a alguien', 'despertar', 'acordar', 'levantar']",,10,156,"['お.きる', 'お.こる', 'お.こす', 'おこ.す', 'た.つ']",['キ']
"['rut', 'wheel', 'track', 'model', 'way of doing', 'ornière', 'rails', 'orbite', 'modèle', 'façon de faire', 'surco', 'vía', 'modelo', 'ejemplo', 'Sulco de rodas', 'roda', 'trilha', 'modelo', 'caminho']",,9,159,[],['キ']
"['radiance', 'shine', 'sparkle', 'gleam', 'twinkle', 'étincelant', 'étincelle', 'briller', 'scintiller', 'resplandor', 'destello', 'centelleo', 'resplandecer', 'destellar', 'centellear', 'brilho', 'luzir', 'centelha', 'faiscar', 'piscar']",,15,159,['かがや.く'],['キ']
"['hungry', 'starve', 'faim', 'famine', 'hambre', 'tener hambre', 'faminto', 'morrer de fome']",,10,184,['う.える'],['キ']
"['equestrian', 'riding on horses', 'counter for equestrians', 'cavalier', 'monter à cheval', 'compteur de cavaliers', 'jinete', 'montar a caballo', 'contador para jinetes', 'cavaleiro', 'equitação', 'sufixo para contagem de cavalos']",,18,187,[],['キ']
"['ghost', 'devil', 'démon', 'monstre', 'fantasma', 'demonio', 'ogro', 'fantasma', 'diabo', 'demônio']",,10,194,"['おに', 'おに-']",['キ']
"['tortoise', 'turtle', 'tortue', 'tortuga']",,11,5,['かめ'],"['キ', 'キュウ', 'キン']"
"['falsehood', 'lie', 'deceive', 'pretend', 'counterfeit', 'forgery', 'faux', 'mensonge', 'berner', 'prétendre', 'imitation', 'contrefaçon', 'falsedad', 'mentira', 'engañar', 'fingir', 'mentir', 'engaño', 'falsidade', 'mentira', 'enganar', 'fingir', 'falsificação']",,11,9,"['いつわ.る', 'にせ', 'いつわ.り']","['ギ', 'カ']"
"['ceremony', 'rule', 'affair', 'case', 'a matter', 'cérémonie', 'règle', 'affaire', 'cas', 'matière', 'manières', 'regla', 'norma', 'etiqueta', 'ceremonia', 'modelo de astros', 'cerimônia', 'regra', 'romance', 'caso', 'uma matéria']",,15,9,[],['ギ']
"['stretch', 'singing girl', 'geisha', 'prostitute']",,7,38,"['わざおぎ', 'うたいめ']","['ギ', 'キ']"
"['best regards', 'good', 'convenable', 'bon', 'mes amitiés!', 'apropiado', 'adecuado', 'conveniente', 'correcto', 'melhores cumprimentos', 'bons']",,8,40,"['よろ.しい', 'よろ.しく']",['ギ']
"['frolic', 'play', 'sport', 'divertissement', 'jeu', 'sport', 'jugueteo', 'broma', 'diversión', 'teatro', 'función', 'juguetear', 'bromear', 'flirtear', 'brincadeira', 'jogo', 'esporte']",,15,62,"['たわむ.れる', 'ざ.れる', 'じゃ.れる']","['ギ', 'ゲ']"
"['skill', 'art', 'craft', 'ability', 'feat', 'performance', 'vocation', 'arts', 'habileté', 'art', 'technique', ""jeu (d'acteur)"", 'prouesse', 'métier', 'vocation', 'arts', 'habilidad', 'arte', 'técnica', 'habilidade', 'arte', 'ofício', 'capacidade', 'façanha', 'performance', 'vocação', 'artes']",,7,64,['わざ'],['ギ']
"['mimic', 'aim (a gun) at', 'nominate', 'imitate', 'imitation', 'pointer une arme', 'nommer', 'comparer', 'imitar', 'comparar', 'parecerse', 'suponer', 'imitar', 'alvo (uma arma)', 'nomear', 'imita']",,17,64,"['まが.い', 'もど.き']",['ギ']
"['deceit', 'cheat', 'delude', 'tromperie', 'tricherie', 'supercherie', 'callarse', 'mentir', 'engaño', 'trampa', 'engañar', 'estafar', 'engano', 'fraude', 'iludir']",,12,76,['あざむ.く'],['ギ']
"['sacrifice', 'sacrifice', 'sacrificio', 'chivo expiatorio', 'víctima', 'Sacrifício']",,17,93,['いけにえ'],"['ギ', 'キ']"
"['doubt', 'distrust', 'be suspicious', 'question', 'douter', 'méfiance', 'soupçon', 'question', 'duda', 'desconfianza', 'sospecha', 'dudar', 'desconfiar', 'sospechar', 'dúvida', 'desconfiança', 'é suspeito', 'pergunta']",,14,103,['うたが.う'],['ギ']
"['national or local god', 'peaceful', 'great']",,8,113,"['くにつかみ', 'ただ', 'まさに']","['ギ', 'キ', 'シ']"
"['righteousness', 'justice', 'morality', 'honor', 'loyalty', 'meaning', 'vertu', 'justice', 'moralité', 'honneur', 'loyauté', 'signification', 'moralidad', 'lealtad', 'significado', 'artificial', 'no consanguíneo', 'retidão', 'justiça', 'moralidade', 'honra', 'lealdade', 'significado']",,13,123,[],['ギ']
"['ant', 'hormiga']",,19,142,['あり'],['ギ']
"['friendship', 'intimacy', 'amistad', 'intimidad']",,15,149,"['よしみ', 'よい']",['ギ']
"['deliberation', 'consultation', 'debate', 'consideration', 'délibération', 'entretien', 'débat', 'considération', 'opinión', 'consulta', 'consideración', 'deliberação', 'consulta', 'debate', 'consideração']",,20,149,[],['ギ']
['scoop up water with the hand'],,11,64,"['きく.す', 'むす.ぶ', 'すく.う', 'たなごころ']","['キク', 'コク']"
"['chrysanthemum', 'chrysanthème', 'crisantemo', 'crisântemo']",,11,140,[],['キク']
"['ball', 'bola']",,17,177,['まり'],"['キク', 'キュウ']"
"['good luck', 'joy', 'congratulations', 'bonne chance', 'joie', 'félicitations', 'buena suerte', 'alegría', 'felicitaciones', 'boa sorte', 'prazer', 'congratulações']",,6,30,['よし'],"['キチ', 'キツ']"
['stammer'],,6,30,['ども.る'],['キツ']
